"year","WB_ny_gdp_mktp_cn_ad","countrycode"
1961,NA,"USA"
1962,NA,"USA"
1963,NA,"USA"
1964,NA,"USA"
1965,NA,"USA"
1966,NA,"USA"
1967,NA,"USA"
1968,NA,"USA"
1969,NA,"USA"
1970,NA,"USA"
1971,NA,"USA"
1972,NA,"USA"
1973,NA,"USA"
1974,NA,"USA"
1975,NA,"USA"
1976,NA,"USA"
1977,NA,"USA"
1978,NA,"USA"
1979,NA,"USA"
1980,NA,"USA"
1981,NA,"USA"
1982,NA,"USA"
1983,NA,"USA"
1984,NA,"USA"
1985,NA,"USA"
1986,NA,"USA"
1987,NA,"USA"
1988,NA,"USA"
1989,5.65769e+12,"USA"
1990,5.96314e+12,"USA"
1991,6.15813e+12,"USA"
1992,6.52033e+12,"USA"
1993,6.85856e+12,"USA"
1994,7.28724e+12,"USA"
1995,7.63975e+12,"USA"
1996,8.07312e+12,"USA"
1997,8.57755e+12,"USA"
1998,9.06282e+12,"USA"
1999,9.63066e+12,"USA"
2000,1.02523e+13,"USA"
2001,1.05818e+13,"USA"
2002,1.09364e+13,"USA"
2003,1.14582e+13,"USA"
2004,1.22137e+13,"USA"
2005,1.30366e+13,"USA"
2006,1.38146e+13,"USA"
2007,1.44519e+13,"USA"
2008,1.47128e+13,"USA"
2009,1.44489e+13,"USA"
2010,1.49921e+13,"USA"
2011,1.55426e+13,"USA"
2012,1.6197e+13,"USA"
2013,1.67848e+13,"USA"
2014,1.75217e+13,"USA"
2015,1.82193e+13,"USA"
2016,1.87072e+13,"USA"
2017,1.94854e+13,"USA"
2018,2.04941e+13,"USA"
